"turmas";"qtde";"total_acertos_esperado";"p_exoticas";"p_nativas";"p_origem_exoticas";"p_origem_nativas";"p_indice_exoticas";"p_indice_nativas"
1;14;70;0,771428571428571;0,614285714285714;0,5;0,8;0,428571428571429;0,542857142857143
2;18;90;0,7;0,788888888888889;0,588888888888889;0,8;0,455555555555556;0,744444444444444
3;18;90;0,711111111111111;0,711111111111111;0,433333333333333;0,844444444444444;0,333333333333333;0,622222222222222
4;18;90;0,655555555555556;0,755555555555556;0,433333333333333;0,8;0,333333333333333;0,622222222222222
5;16;80;0,9375;0,4875;0,625;0,875;0,5875;0,4
6;27;135;0,740740740740741;0,711111111111111;0,585185185185185;0,822222222222222;0,525925925925926;0,651851851851852
7;21;105;0,866666666666667;0,59047619047619;0,714285714285714;0,771428571428571;0,628571428571429;0,466666666666667
8;27;135;0,62962962962963;0,740740740740741;0,355555555555556;0,725925925925926;0,296296296296296;0,57037037037037
9;23;115;0,843478260869565;0,417391304347826;0,573913043478261;0,860869565217391;0,521739130434783;0,365217391304348
10;22;110;0,818181818181818;0,745454545454545;0,581818181818182;0,854545454545454;0,518181818181818;0,672727272727273
11;23;115;0,791304347826087;0,669565217391304;0,434782608695652;0,852173913043478;0,4;0,591304347826087
12;20;100;0,78;0,7;0,55;0,78;0,49;0,62
13;21;105;0,714285714285714;0,542857142857143;0,485714285714286;0,771428571428571;0,40952380952381;0,419047619047619
14;15;75;0,64;0,706666666666667;0,413333333333333;0,666666666666667;0,32;0,466666666666667
15;25;125;0,896;0,352;0,512;0,768;0,488;0,288
16;24;120;0,9;0,6;0,608333333333333;0,833333333333333;0,583333333333333;0,55
17;35;175;0,765714285714286;0,554285714285714;0,497142857142857;0,782857142857143;0,44;0,44
